timestamp,value,rolling_7d_mean,rolling_7d_std,dayofyear,dayofweek,zscore,anomaly_z,anomaly_iqr,anomaly_iso,iso_score,anomaly_votes,anomaly_any
2015-01-01,171.6,171.6,0.0,1,3,,False,False,1,-0.012902949993928048,1,0
2015-01-02,22.5,97.05,105.42962107491422,2,4,,False,False,1,-0.024639123742915436,1,0
2015-01-03,269.3,154.46666666666667,124.28887051274275,3,5,,False,False,0,0.04557723117160539,0,0
2015-01-04,56.1,129.875,112.77181607121524,4,6,,False,False,1,-0.03377664507166467,1,0
2015-01-05,263.8,156.66000000000003,114.56567112359619,5,0,,False,False,0,0.024223084190694966,0,0
2015-01-06,432.2,202.58333333333334,152.16421940346774,6,1,,False,False,0,0.05969299585421639,0,0
2015-01-07,122.9,191.20000000000002,142.13381019307124,7,2,-0.4805330969965759,False,False,0,0.06902724388609649,0,0
2015-01-08,409.8,225.22857142857146,163.5585085352814,8,3,1.2533730318399776,False,False,0,0.08699748936525808,0,0
2015-01-09,77.8,233.12857142857143,153.13814802638953,9,4,-0.8324750556989731,False,False,0,0.09067251362187906,0,0
2015-01-10,449.3,258.84285714285716,173.92570115945927,10,5,1.3716287050486033,False,False,0,0.06579949223252601,0,0
2015-01-11,470.4,318.0285714285714,163.62152175356516,11,6,1.2989991985122669,False,False,0,0.010954756585108805,0,0
2015-01-12,138.2,300.0857142857143,176.90674029528887,12,0,-0.6181136242641381,False,False,0,0.032329322086612544,0,0
2015-01-13,146.7,259.3,174.26256052290753,13,1,-0.5391211319369098,False,False,0,0.0735787400694562,0,0
2015-01-14,487.0,311.3142857142857,180.97355634246156,14,2,1.4007429907447604,False,False,0,0.03056040063621912,0,0
2015-01-15,415.9,312.1857142857143,181.54062381527203,15,3,0.9165623637351256,False,False,0,0.05667260930561957,0,0
2015-01-16,198.2,329.38571428571424,160.06623033993807,16,4,-0.36883359842332974,False,False,0,0.059617791411398224,0,0
2015-01-17,368.9,317.90000000000003,152.74471076494493,17,5,0.6515592049277411,False,False,0,0.06976545273846957,0,0
2015-01-18,14.0,252.7,172.88115378297704,18,6,-1.4268558317794686,False,False,0,0.028171729273007595,0,0
2015-01-19,306.8,276.7857142857143,165.87297779296296,19,0,0.32782174206176473,False,False,0,0.06304234158819233,0,0
2015-01-20,465.8,322.37142857142857,167.99839993569108,20,1,1.2247914871625403,False,False,0,0.04027257741446111,0,0
2015-01-21,21.2,255.82857142857145,183.4606107977561,21,2,-1.3714531789252833,False,False,0,0.05047976374623875,0,0
2015-01-22,180.2,222.15714285714284,170.34633209183835,22,3,-0.4185869385557805,False,False,0,0.10581185463684228,0,0
2015-01-23,469.0,260.8428571428571,193.2134386038996,23,4,1.2493873824876387,False,False,0,0.05105951962123778,0,0
2015-01-24,172.9,232.84285714285716,189.10235197852393,24,5,-0.4993046313919246,False,False,0,0.0748100943393406,0,0
2015-01-25,219.2,262.1571428571429,163.7258059189496,25,6,-0.21475848417092777,False,False,0,0.07660298086906026,0,0
2015-01-26,274.2,257.5,162.7047735419381,26,0,0.12241250839202657,False,False,0,0.07978323805163279,0,0
